Date,Open,High,Low,Last,Volume,Turnover
2017-02-14,64.3,64.63,63.98,64.2,783007.0,50305412.65
2017-02-13,63.93,64.53,63.87,64.32,1060673.0,68084274.12
2017-02-10,64.0,64.1,63.56,63.88,758567.0,48437010.73
2017-02-09,63.55,63.88,63.45,63.68,1015022.0,64625159.91
2017-02-08,63.35,63.57,63.15,63.47,1319058.0,83577280.6
2017-02-07,63.0,63.46,62.98,63.34,1333971.0,84385553.49
2017-02-06,63.45,63.74,62.98,63.05,915590.0,57876697.71
2017-02-03,63.2,63.95,62.97,63.51,872648.0,55471854.23
2017-02-02,62.51,63.42,62.22,63.14,1004994.0,63403375.01
2017-02-01,61.77,62.85,61.51,62.73,1266666.0,79080840.47
2017-01-31,62.9,63.36,62.7,62.7,1407253.0,88502296.05
2017-01-30,63.49,63.75,62.71,62.81,1117251.0,70325435.83
2017-01-27,63.83,64.15,63.07,63.63,1217523.0,77377981.65
2017-01-26,64.9,64.9,64.03,64.48,1212088.0,78172436.8
2017-01-25,65.14,65.62,64.87,64.92,1414145.0,91973196.98
2017-01-24,65.8,65.81,64.7,64.9,1169888.0,76057072.28
2017-01-23,64.46,65.58,63.88,65.53,1744086.0,113198990.19
2017-01-20,64.45,64.8,63.37,64.45,3801326.0,244440659.7
2017-01-19,67.75,69.87,63.44,63.62,7026452.0,465848874.63
2017-01-18,67.19,67.41,66.75,67.27,794315.0,53283776.63
2017-01-17,67.17,67.44,66.82,67.12,715459.0,48012233.28
2017-01-16,67.15,67.6,67.15,67.2,461082.0,31029122.27
2017-01-13,67.35,67.66,67.19,67.65,865429.0,58389436.58
2017-01-12,67.6,67.84,67.14,67.21,641895.0,43186206.33
